category,requirement,status,code_location,formula_or_rule,note
Core/Runtime,서버비 안 씀,O,main.py,로컬 Python,
Core/Runtime,내 PC에서 실행,O,main.py,while True,
Core/Runtime,10분마다 자동 실행,O,LOOP_SECONDS,sleep(600),
Core/Runtime,한 번만 실행 옵션,O,--once,one cycle,
Core/Runtime,기본 dry-run,O,.env,DRY_RUN=true,
Core/Runtime,live 전환,O,.env,DRY_RUN=false,
Core/Runtime,대시보드 자동 실행,O,main.py,Flask thread,
Core/Runtime,브라우저 자동 열림,O,DASHBOARD_OPEN_BROWSER,webbrowser.open,
Core/Runtime,전략 로그 저장,O,trades.jsonl,append_jsonl,
Core/Runtime,상태 저장,O,state.json,LMSR/sim_positions,
Toss/LiveData,토큰 자동갱신,O,auth.py,expires_at,
Toss/LiveData,401 재시도,O,toss_client.py,force_refresh,
Toss/LiveData,accountSeq 자동조회,O,toss_client.py,GET /api/v1/accounts,
Toss/LiveData,주문가능금액 실데이터,O,live_data_guard.py,LIVE 실패 차단,
Toss/LiveData,보유수량 실데이터,O,parse_positions,Toss positions,
Toss/LiveData,매도가능수량 실데이터,O,validate_sellable_quantity,requested<=sellable,
Toss/LiveData,현재가 실데이터,O,parse_current_price,LIVE fallback 금지,
Toss/LiveData,주문 가능 여부,O,validate_orderability,stock_info+market_status,
Toss/LiveData,체결 결과 확인,O,validate_order_response,orderId 필수,
Toss/LiveData,KR quantity 주문,O,order_builder.py,floor(value/price),
Toss/LiveData,US orderAmount 주문,O,order_builder.py,KRW/USD_KRW,
Toss/LiveData,SELL quantity 주문,O,order_builder.py,qty*fraction,
Toss/LiveData,시장 닫힘 차단,O,is_market_open_from_clock,market_open=false,
Toss/LiveData,거래정지/상폐 차단,O,parse_stock_tradability,bad status,
Toss/LiveData,Toss endpoint env 수정,O,.env.example,TOSS_ENDPOINT_*,
LLM/API,Google/Gemini API,O,llm_pipeline.py,evidence,
LLM/API,NVIDIA API,O,llm_pipeline.py,probability,
LLM/API,Google 하루 10회,O,api_budget.py,limit-used,
LLM/API,NVIDIA 하루 10회,O,api_budget.py,limit-used,
LLM/API,질문/답변 로그,O,llm_calls.jsonl,prompt+response,
LLM/API,뉴스 evidence,O,build_google_prompt,news/economy/politics,
LLM/API,기상 evidence,O,build_google_prompt,weather,
LLM/API,스포츠 evidence,O,build_google_prompt,sports,
LLM/API,온체인 evidence,O,build_google_prompt,onchain,
LLM/API,확률 JSON 판단,O,build_nvidia_prompt,yes_probability/confidence/news_score,
LLM/API,API 소진 fallback,O,mock_*,budget exceeded,
LLM/API,LLM confidence gate,O,survival_gate,confidence>=min,
LLM/API,top_candidate_symbols,O,NVIDIA response,candidate hint,
Prediction/LMSR/Kelly,Polymarket 직접거래 안 함,O,전체,no polymarket order,
Prediction/LMSR/Kelly,LMSR 내부 예측시장,O,lmsr.py,C=b ln(exp(qy/b)+exp(qn/b)),
Prediction/LMSR/Kelly,LMSR YES가격,O,lmsr.py,P=exp(qy/b)/(exp(qy/b)+exp(qn/b)),
Prediction/LMSR/Kelly,EventEdge,O,main.py,p_llm-p_lmsr,
Prediction/LMSR/Kelly,LMSR 상태 누적,O,state.json,q_yes/q_no,
Prediction/LMSR/Kelly,Sapience 외부가격,△,data_sources.py,0.7 LMSR+0.3 Sapience,placeholder
Prediction/LMSR/Kelly,Kelly YES,O,kelly.py,(p-C)/(1-C),
Prediction/LMSR/Kelly,Kelly NO,O,kelly.py,(C-p)/C,
Prediction/LMSR/Kelly,Kelly multiplier,O,.env,KELLY_MULTIPLIER,
Prediction/LMSR/Kelly,position cap,O,.env,"min(f,MAX_POSITION_FRACTION)",
Factors/Fundamentals,Value 팩터,O,factors.py,"z(-PER),z(-PBR),z(FCFYield)",
Factors/Fundamentals,Momentum 팩터,O,factors.py,3M/6M/12-1M return,
Factors/Fundamentals,Quality 팩터,O,factors.py,ROE/ROIC/margins,
Factors/Fundamentals,Risk 팩터,O,factors.py,"-beta,-vol,-MDD",
Factors/Fundamentals,Liquidity 팩터,O,factors.py,volume/value/mcap,
Factors/Fundamentals,Growth/Revision 팩터,O,factors.py,growth/revision,
Factors/Fundamentals,News/Event 팩터,O,factors.py,llm_sentiment,
Factors/Fundamentals,팩터 가중합,O,factors.py,0.16V+0.20M+0.16Q+0.12R+0.12L+0.14G+0.10N,
Factors/Fundamentals,tanh 압축,O,factors.py,tanh(raw),
Factors/Fundamentals,무료 재무데이터 반영,O,main.py,universe override,
Factors/Fundamentals,yfinance 해외,O,yfinance_client.py,financials/balance/cashflow/info,
Factors/Fundamentals,SEC submissions,O,sec_edgar_client.py,/submissions/CIK,
Factors/Fundamentals,SEC companyfacts,O,sec_edgar_client.py,/api/xbrl/companyfacts,
Factors/Fundamentals,Naver WiseReport,O,naver_finance.py,cF1001/read_html,
Factors/Fundamentals,SEC 우선 yfinance 보조,O,free_financial_sources.py,"merge(sec,yf)",
Factors/Fundamentals,OpenDART,△,README,"권장, 미구현",
Factors/Fundamentals,KRX/pykrx,△,README,"권장, 미구현",
SDE/GBM,SDE/GBM,O,sde.py,dS/S=mu dt+sigma dW,
SDE/GBM,mu 구성,O,sde.py,base+0.12factor+0.15edge+0.10trend+0.06news,
SDE/GBM,sigma 구성,O,sde.py,hist_vol*multipliers,
SDE/GBM,20일 +3% 확률,O,sde.py,P(S_T>S0*1.03),
SDE/GBM,sde_prob_score,O,main.py,2*(prob-0.5),
SDE/GBM,SDE threshold,O,.env,prob>=MIN_SDE_PROB_UP,
TechnicalRules,ATR,O,technical_entries.py,"TR=max(H-L,|H-PC|,|L-PC|)",
