symbol,name,raw_name,market,sector,theme,enabled,resolved,note
ABB,ABB,ABB,US,Industrial,Global Industrial,false,toss_unverified,toss_price_unavailable_2026-07-15;exclude_from_execution_until_reverified
,크레디트스위스,크레디트스위스,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
NVS,Novartis,Novartis,US,Healthcare,Pharma,true,seeded,verify_with_toss_stock_info_before_live;country_exposure=Switzerland
,Roche,Roche,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
UBS,UBS,UBS,US,Financial,Bank,true,seeded,verify_with_toss_stock_info_before_live;country_exposure=Switzerland
,BYD,BYD,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,CNNC,CNNC,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
BIDU,Baidu,Baidu,US,Internet,China AI,true,seeded,verify_with_toss_stock_info_before_live;country_exposure=China
,DJI,DJI,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
EH,EHang,EHang,US,Aviation,Drone/eVTOL,true,seeded,verify_with_toss_stock_info_before_live
NIO,NIO,NIO,US,EV,EV,true,seeded,verify_with_toss_stock_info_before_live;country_exposure=China
,BMW,BMW,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
BNTX,BioNTech,BioNTech,US,Healthcare,Biotech,true,seeded,verify_with_toss_stock_info_before_live
,시멘스에너지,시멘스에너지,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,Mercedes-Benz,Mercedes-Benz,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
SAP,SAP,SAP,US,Software,Enterprise Software,true,seeded,verify_with_toss_stock_info_before_live;country_exposure=Germany
,Volkswagen,Volkswagen,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,NKT,NKT,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,Orsted,Orsted,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,Vestas Wind Systems,Vestas Wind Systems,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,이베르드롤라,이베르드롤라,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,EDF,EDF,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,탈레스,탈레스,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,넥산스,넥산스,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,파롯,파롯,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,Geely,Geely,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,차이나전력,차이나전력,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,Quantum Machines,Quantum Machines,GLOBAL_CANDIDATE,,Quantum Computing,false,unresolved,symbol_required_before_live_trading
,엔엘,엔엘,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,프리즈미안,프리즈미안,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,후루카와전기,후루카와전기,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,스미토모전기,스미토모전기,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,Yaskawa Electric,Yaskawa Electric,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,FANUC,FANUC,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,미쓰비시중공업,미쓰비시중공업,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,도쿄전력,도쿄전력,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,토시바,토시바,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
000100,유한양행,유한양행,KR,Healthcare,Pharma,true,seeded,verify_with_toss_stock_info_before_live
000270,기아,기아,KR,Auto,EV/Auto,true,seeded,verify_with_toss_stock_info_before_live
000500,가온전선,가온전선,KR,Cable,Power Grid,true,seeded,verify_with_toss_stock_info_before_live
000660,SK하이닉스,SK하이닉스,KR,Semiconductor,AI Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
000720,현대건설,현대건설,KR,Construction,Infrastructure,true,seeded,verify_with_toss_stock_info_before_live
000880,한화,한화,KR,Holding/Defense,Defense,true,seeded,verify_with_toss_stock_info_before_live
000990,DB하이텍,DB하이텍,KR,Semiconductor,Foundry,true,seeded,verify_with_toss_stock_info_before_live
001290,상상인증권,상상인증권,KR,Financial,Securities,true,seeded,verify_with_toss_stock_info_before_live
001440,대한전선,대한전선,KR,Cable,Power Grid,true,seeded,verify_with_toss_stock_info_before_live
001520,동양,동양,KR,Construction Materials,Infrastructure,true,seeded,verify_with_toss_stock_info_before_live
002320,한진,한진,KR,Logistics,Logistics,true,seeded,verify_with_toss_stock_info_before_live
002630,오리엔트바이오,오리엔트바이오,KR,Biotech,Biotech,true,seeded,verify_with_toss_stock_info_before_live
002780,진흥기업,진흥기업,KR,Construction,Infrastructure,true,seeded,verify_with_toss_stock_info_before_live
003470,유안타증권,유안타증권,KR,Financial,Securities,true,seeded,verify_with_toss_stock_info_before_live
003530,한화투자증권,한화투자증권,KR,Financial,Securities,true,seeded,verify_with_toss_stock_info_before_live
