theme,template
Cash Affordable,현재 원화·달러 주문가능 금액으로 실제 주문 가능한 검증 종목 중 향후 3개월 위험 대비 기대점수가 가장 유리할 가능성이 있는 종목과 심볼은?
Cash Affordable,현재 현금·환율·종목당 한도를 적용한 구매 가능 후보 중 재무·뉴스·기술·위험 점수가 우수할 가능성이 높은 종목과 정확한 심볼은?
Cash Affordable,현재 KRW·USD 구매력 안의 검증 후보에서 향후 3개월 기준 매수 검토 우선순위와 심볼은?
KR Domestic,향후 3개월 동안 국내 주식 중 상승 가능성이 가장 높은 종목군은?
KR Domestic,국내 상장 종목 중 향후 3개월 기준 모멘텀·수급·이벤트 우위가 가장 클 가능성이 있는 종목은?
KR Domestic,국내 주식 후보군에서 향후 3개월 동안 기대수익 대비 위험이 유리할 가능성이 높은 종목은?
AI Semiconductor,향후 3개월 동안 AI 반도체 관련 종목 중 가능성이 높은 종목은?
AI Semiconductor,AI 서버·GPU·HBM·반도체 장비 수요를 고려할 때 향후 3개월 동안 유리한 종목은?
Space/Defense,향후 3개월 동안 우주·방산 관련 종목 중 가능성이 높은 종목은?
Robotics,향후 3개월 동안 로봇·자동화 관련 종목 중 가능성이 높은 종목은?
Battery,향후 3개월 동안 배터리·전력망 관련 종목 중 가능성이 높은 종목은?
Power Grid,향후 3개월 동안 전력망·케이블·전력설비 관련 종목 중 가능성이 높은 종목은?
Quantum Computing,향후 3개월 동안 양자컴퓨팅 관련 종목 중 가능성이 높은 종목은?
