symbol,name,raw_name,market,sector,theme,enabled,resolved,note
7203.T,Toyota Motor,Toyota Motor,JP,Automotive,Autonomous Driving,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
7267.T,Honda Motor,Honda Motor,JP,Automotive,Autonomous Driving,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
6758.T,Sony Group,Sony Group,JP,Technology,AI,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
9984.T,SoftBank Group,SoftBank Group,JP,Technology,AI,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
6861.T,Keyence,Keyence,JP,Industrial Automation,Robotics,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
6501.T,Hitachi,Hitachi,JP,Technology,AI,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
6954.T,FANUC,FANUC,JP,Industrial Automation,Robotics,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
6594.T,Nidec,Nidec,JP,Industrial Automation,Robotics,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
8035.T,Tokyo Electron,Tokyo Electron,JP,Semiconductor,Semiconductor,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
6857.T,Advantest,Advantest,JP,Semiconductor,Semiconductor,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
6723.T,Renesas Electronics,Renesas Electronics,JP,Semiconductor,Semiconductor,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
4063.T,Shin-Etsu Chemical,Shin-Etsu Chemical,JP,Semiconductor,Semiconductor,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
7011.T,Mitsubishi Heavy Industries,Mitsubishi Heavy Industries,JP,Defense,Defense,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
7012.T,Kawasaki Heavy Industries,Kawasaki Heavy Industries,JP,Aerospace,Aerospace,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
7013.T,IHI,IHI,JP,Aerospace,Aerospace,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
4502.T,Takeda Pharmaceutical,Takeda Pharmaceutical,JP,Healthcare,Healthcare,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
4519.T,Chugai Pharmaceutical,Chugai Pharmaceutical,JP,Healthcare,Biotech,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
4568.T,Daiichi Sankyo,Daiichi Sankyo,JP,Healthcare,Biotech,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
7741.T,HOYA,HOYA,JP,Healthcare,Healthcare,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
8306.T,Mitsubishi UFJ Financial Group,Mitsubishi UFJ Financial Group,JP,Financial,Bank,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
8316.T,Sumitomo Mitsui Financial Group,Sumitomo Mitsui Financial Group,JP,Financial,Bank,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
8411.T,Mizuho Financial Group,Mizuho Financial Group,JP,Financial,Bank,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
1605.T,INPEX,INPEX,JP,Energy,Energy,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
5020.T,ENEOS Holdings,ENEOS Holdings,JP,Energy,Energy,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
9501.T,Tokyo Electric Power,Tokyo Electric Power,JP,Energy,Energy,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
5713.T,Sumitomo Metal Mining,Sumitomo Metal Mining,JP,Metals & Mining,Copper,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
5711.T,Mitsubishi Materials,Mitsubishi Materials,JP,Resources,Resources,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
5801.T,Furukawa Electric,Furukawa Electric,JP,Metals & Mining,Copper,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
5802.T,Sumitomo Electric Industries,Sumitomo Electric Industries,JP,Metals & Mining,Copper,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
6367.T,Daikin Industries,Daikin Industries,JP,Environmental Services,Green,False,False,seed_candidate;country=Japan;verify_with_toss_stock_info_before_live
RELIANCE.NS,Reliance Industries,Reliance Industries,IN,Energy,Energy,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
TCS.NS,Tata Consultancy Services,Tata Consultancy Services,IN,Technology,AI,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
INFY.NS,Infosys,Infosys,IN,Technology,AI,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
HDFCBANK.NS,HDFC Bank,HDFC Bank,IN,Financial,Bank,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
ICICIBANK.NS,ICICI Bank,ICICI Bank,IN,Financial,Bank,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
SBIN.NS,State Bank of India,State Bank of India,IN,Financial,Bank,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
LT.NS,Larsen & Toubro,Larsen & Toubro,IN,Construction,Construction,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
TATAMOTORS.NS,Tata Motors,Tata Motors,IN,Automotive,Autonomous Driving,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
M&M.NS,Mahindra & Mahindra,Mahindra & Mahindra,IN,Automotive,Autonomous Driving,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
MARUTI.NS,Maruti Suzuki India,Maruti Suzuki India,IN,Automotive,Autonomous Driving,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
TATAELXSI.NS,Tata Elxsi,Tata Elxsi,IN,Automotive,Autonomous Driving,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
PERSISTENT.NS,Persistent Systems,Persistent Systems,IN,Technology,AI,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
DIXON.NS,Dixon Technologies,Dixon Technologies,IN,Semiconductor,Semiconductor,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
SUNPHARMA.NS,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries,IN,Healthcare,Healthcare,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
DRREDDY.NS,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories,IN,Healthcare,Biotech,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
